Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.5999,32.4512,32.3318,0.1194,0.5248,32.4769,1.3532,31.1237,0.0000,33.0017,33.2415,NA,2.5999,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,35.0511,33.2468,33.1166,0.1302,0.5505,33.2415,1.4392,31.8023,0.0000,33.7920,37.9710,-0.7903,35.0511,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,68.2979,33.0036,32.8786,0.1250,0.5452,32.9890,1.3731,31.6159,0.0000,38.5162,33.3403,-4.7242,68.2979,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,101.3015,33.0988,32.9688,0.1300,0.5306,33.1190,1.3875,31.7315,0.0000,38.8529,33.3354,-0.3367,101.3015,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,134.4003,33.1099,33.0053,0.1046,0.5508,33.1187,1.3912,31.7275,0.0000,39.0895,28.5241,-0.2366,134.4003,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,167.5102,33.9755,33.8418,0.1337,0.5596,33.9441,1.3760,32.5681,0.0000,34.5037,33.7197,4.5858,167.5102,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,201.4857,33.7034,33.5711,0.1323,0.5282,33.7197,1.3930,32.3267,0.0000,34.2479,37.7525,0.2558,201.4857,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,235.1891,32.6930,32.5581,0.1349,0.5445,32.6690,1.3501,31.3189,0.0000,38.2970,33.3304,-4.0491,235.1891,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,267.8821,33.3459,33.2200,0.1259,0.5205,33.3531,1.3691,31.9840,0.0000,38.9344,28.7129,-0.6374,267.8821,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,301.2280,33.7174,33.5219,0.1955,0.5277,33.7737,1.3846,32.3891,0.0000,34.3014,33.2920,4.6330,301.2280,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,334.9454,33.3549,33.2236,0.1313,0.5840,33.2920,1.4697,31.8223,0.0000,33.8760,33.5881,0.4254,334.9454,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,368.3003,33.5458,33.3960,0.1498,0.5211,33.5881,1.4350,32.1531,0.0000,34.1092,33.3493,-0.2332,368.3003,NA,8.8166,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,401.8461,33.3585,33.2105,0.1480,0.5634,33.3493,1.4331,31.9162,0.0000,33.9127,33.1669,0.1965,401.8461,NA,9.1775,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,435.2046,33.1961,33.0679,0.1282,0.5542,33.1669,1.3927,31.7742,0.0000,33.7211,37.8928,0.1916,435.2046,NA,10.3434,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,468.4007,32.8915,32.7557,0.1358,0.5250,32.8754,1.3555,31.5199,0.0000,38.4178,33.3261,-4.6967,468.4007,NA,19.2260,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,501.2922,33.3257,33.1877,0.1380,0.5089,33.3325,1.3215,32.0110,0.0000,38.8524,33.3503,-0.4346,501.2922,NA,13.5608,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,534.6179,33.4089,33.2698,0.1391,0.5157,33.4260,1.3671,32.0589,0.0000,38.8770,33.3280,-0.0246,534.6179,NA,14.9051,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,568.0268,33.2359,33.1005,0.1354,0.5328,33.2095,1.3962,31.8133,0.0000,38.7961,33.3253,0.0809,568.0268,NA,26.2274,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,601.2627,33.1865,33.0716,0.1149,0.5064,33.2197,1.3430,31.8767,0.0000,38.8855,33.3927,-0.0894,601.2627,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,634.4492,33.2795,33.1371,0.1424,0.5396,33.2561,1.3450,31.9111,0.0000,39.0917,33.3070,-0.2062,634.4492,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,667.7287,35.6648,35.4823,0.1825,0.5162,35.7125,1.5386,34.1739,0.0000,39.1192,33.3931,-0.0275,667.7287,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,703.3935,33.4878,33.2879,0.1999,0.5639,33.5038,1.4653,32.0385,0.0000,36.8475,33.2772,2.2717,703.3935,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,736.8813,31.7805,31.6112,0.1693,0.5799,31.8983,1.5745,30.3238,0.0000,36.6369,28.4472,0.2106,736.8813,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,768.6618,32.7969,32.6603,0.1366,0.6977,32.6059,1.3084,31.2975,0.0000,33.3036,33.2866,3.3333,768.6618,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,801.4587,33.2689,33.1259,0.1430,0.5067,33.2866,1.3641,31.9225,0.0000,33.7933,38.2417,-0.4897,801.4587,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,834.7276,32.8225,32.6889,0.1336,0.5244,32.8211,1.3241,31.4970,0.0000,38.7661,33.3328,-4.9728,834.7276,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,867.5501,33.1157,32.9833,0.1324,0.5230,33.1276,1.3834,31.7442,0.0000,39.2764,33.3251,-0.5103,867.5501,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,900.6658,33.9331,33.8103,0.1228,0.5349,33.9429,1.3721,32.5708,0.0000,39.4858,33.3457,-0.2094,900.6658,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,934.5989,33.1353,33.0032,0.1321,0.5447,33.1095,1.3788,31.7307,0.0000,38.8984,33.3258,0.5874,934.5989,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,967.7342,33.4318,33.2531,0.1787,0.5189,33.4423,1.3746,32.0677,0.0000,39.0889,28.4028,-0.1905,967.7342,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1001.1660,33.5449,33.4096,0.1353,0.5294,33.5305,1.4917,32.0388,0.0000,34.0599,38.2715,5.0290,1001.1660,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1034.7109,33.1187,33.0021,0.1166,0.5150,33.1513,1.3773,31.7740,0.0000,38.7865,33.3324,-4.7266,1034.7109,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1067.8296,33.3665,33.2258,0.1407,0.5476,33.3052,1.3394,31.9658,0.0000,39.0002,33.3301,-0.2137,1067.8296,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1101.1961,33.2994,33.1610,0.1384,0.4863,33.3454,1.3982,31.9472,0.0000,38.9638,30.7482,0.0364,1101.1961,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1134.4955,35.7881,35.6554,0.1327,0.5323,35.8803,1.4126,34.4677,0.0000,36.4126,31.5099,2.5512,1134.4955,NA,15.3078,15.3078
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1170.2836,31.6125,31.4743,0.1382,0.6245,31.5099,1.4951,30.0148,0.0000,32.1344,4.6212,4.2782,1170.2836,NA,NA,NA
