"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:02:50.4515545+08:00","2335","43412.969","21.1","0.156","24.32","17.21"
"2026-08-15T01:02:53.8637273+08:00","2335","43416.688","83.8","0.531","21.69","25.49"
"2026-08-15T01:02:56.9246309+08:00","2335.7","43427.156","84.9","0.703","20.99","24.24"
"2026-08-15T01:03:00.0007290+08:00","2335.8","43439.531","85","0.781","18.83","25.4"
"2026-08-15T01:03:03.0826164+08:00","2335.9","43451.078","85.3","0.969","19.94","22.71"
"2026-08-15T01:03:06.1377974+08:00","2333.7","43461.219","85.4","1.203","19.4","25.91"
"2026-08-15T01:03:09.2108716+08:00","2333.5","43472.75","85.7","1.328","19.71","25.19"
"2026-08-15T01:03:12.2852392+08:00","2333.8","43484.562","85.7","1.516","20.09","25.85"
"2026-08-15T01:03:15.3638544+08:00","2333.8","43495.75","85.9","1.609","19.41","25.78"
"2026-08-15T01:03:18.4399461+08:00","2333.9","43507.406","85.3","1.766","19.51","25.76"
"2026-08-15T01:03:21.4987516+08:00","2334.8","43519.219","85.3","1.922","18.41","24.62"
"2026-08-15T01:03:24.5679618+08:00","2335.7","43530.656","85.3","2","18.03","24.88"
"2026-08-15T01:03:27.6436887+08:00","2335.1","43542.219","85.3","2.266","18.92","25.14"
"2026-08-15T01:03:30.7155453+08:00","2334","43554.812","85.3","2.422","19.86","24.7"
"2026-08-15T01:03:33.7946511+08:00","2336.1","43566.125","85.3","2.562","18.29","24.9"
"2026-08-15T01:03:36.8594655+08:00","2336.2","43577.922","85.4","2.75","19.35","25.19"
"2026-08-15T01:03:39.9222067+08:00","2335.7","43590.828","85.4","3","19.59","25.59"
"2026-08-15T01:03:42.9851301+08:00","2335.9","43603.047","85.3","3.203","18.08","25.14"
"2026-08-15T01:03:46.0460420+08:00","2318.2","43615.109","85.4","3.391","19.58","25.32"
"2026-08-15T01:03:49.1219048+08:00","2318.6","43626.703","85.4","3.672","20.1","25.66"
