"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:04:26.0959511+08:00","2320.3","43730.781","25.7","0.203","26.44","17.18"
"2026-08-15T01:04:29.5715814+08:00","2320","43734.5","84.4","0.547","26.86","25.56"
"2026-08-15T01:04:32.6364117+08:00","2320","43743.156","85.6","0.719","20.14","25.26"
"2026-08-15T01:04:35.7086250+08:00","2321.6","43755.484","85.9","0.906","20.02","25.45"
"2026-08-15T01:04:38.7703277+08:00","2321.2","43767.625","85.9","1.219","21.22","24.29"
"2026-08-15T01:04:41.8539955+08:00","2321.1","43780.172","86","1.391","20.92","21.79"
"2026-08-15T01:04:44.9241941+08:00","2321.2","43788.531","86.4","1.516","20.15","24.83"
"2026-08-15T01:04:47.9958544+08:00","2321.2","43801.078","86.8","1.734","21.02","25.04"
"2026-08-15T01:04:51.0706679+08:00","2321.2","43813.641","88","1.984","22.46","24.9"
"2026-08-15T01:04:54.1288048+08:00","2320.8","43825.766","88","2.109","21.16","24.28"
"2026-08-15T01:04:57.2037864+08:00","2320.8","43837.734","88","2.281","22.07","24.48"
"2026-08-15T01:05:00.2828089+08:00","2321","43849.422","88","2.516","21.03","25.34"
"2026-08-15T01:05:03.3479718+08:00","2321","43861.328","87.4","2.672","21.66","25.27"
"2026-08-15T01:05:06.4137268+08:00","2321","43873.297","87.4","2.797","21.45","25.41"
"2026-08-15T01:05:09.4723525+08:00","2320.9","43885.203","87.4","2.984","20.53","25.91"
"2026-08-15T01:05:12.5437918+08:00","2320.9","43897.469","87.4","3.156","22.08","25.19"
"2026-08-15T01:05:15.6217601+08:00","2320.9","43909.078","87.4","3.281","21.1","25"
"2026-08-15T01:05:18.6946242+08:00","2322.6","43920.984","87.4","3.375","21.52","25.2"
"2026-08-15T01:05:21.7565611+08:00","2322.6","43933.281","87.5","3.547","21.23","25.27"
"2026-08-15T01:05:24.8328315+08:00","2322.5","43946","87.5","3.703","20.69","24.85"
