"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T00:57:47.6906786+08:00","2314.6","42381.531",,,"13.79","9.47"
"2026-08-15T00:57:51.0985029+08:00","2315.3","42392.344",,,"17.62","9.51"
"2026-08-15T00:57:54.1619547+08:00","2314.7","42404.781",,,"19.66","9.15"
"2026-08-15T00:57:57.2378451+08:00","2313.5","42417.672",,,"18.6","9.45"
"2026-08-15T00:58:00.3188321+08:00","2317.7","42430.391",,,"17.81","9.47"
"2026-08-15T00:58:03.3955046+08:00","2319.4","42443.219",,,"18.73","9.35"
"2026-08-15T00:58:06.4713151+08:00","2317","42455.938",,,"17.78","9.86"
"2026-08-15T00:58:09.5535522+08:00","2319.5","42468.297",,,"19.57","9.38"
"2026-08-15T00:58:12.6163133+08:00","2318.5","42481.062",,,"18.09","9.48"
"2026-08-15T00:58:15.6897396+08:00","2320.9","42493.75",,,"18.95","9.42"
"2026-08-15T00:58:18.7716955+08:00","2310.2","42505.797",,,"18.75","9.44"
"2026-08-15T00:58:21.8505063+08:00","2313.3","42518.938",,,"17.77","9.49"
"2026-08-15T00:58:24.9078730+08:00","2311.6","42531.672",,,"18.13","9.47"
"2026-08-15T00:58:27.9714325+08:00","2310.4","42543.688",,,"18.03","9.39"
"2026-08-15T00:58:31.0477831+08:00","2310.5","42556.375",,,"19.89","9.38"
"2026-08-15T00:58:34.1237353+08:00","2311.9","42568.922",,,"18.31","9.47"
"2026-08-15T00:58:37.2018173+08:00","2310.8","42581.281",,,"20.06","9.5"
"2026-08-15T00:58:40.2808077+08:00","2310.3","42594.234",,,"20.01","9.48"
"2026-08-15T00:58:43.3608748+08:00","2300.3","42606.781",,,"19.39","9.51"
"2026-08-15T00:58:46.4237382+08:00","2298.6","42619.125",,,"18","9.36"
