Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,8.7025,33.0617,32.9174,0.1443,0.5551,33.0616,1.3649,31.6967,0.0000,38.9264,28.9810,NA,8.7025,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,41.7642,34.2737,34.1430,0.1307,0.5550,34.2907,1.3730,32.9177,0.0000,34.8457,37.7363,4.0807,41.7642,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,76.0379,32.7238,32.5928,0.1310,0.5720,32.7552,1.4188,31.3364,0.0000,38.3083,33.2901,-3.4626,76.0379,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,108.7617,33.3768,33.2342,0.1426,0.6034,33.3480,1.3983,31.9497,0.0000,38.8746,28.4484,-0.5663,108.7617,NA,13.3787,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,142.1385,33.3476,33.2129,0.1347,0.5746,33.3716,1.3698,32.0018,0.0000,33.9462,32.8920,4.9284,142.1385,NA,8.8257,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,175.4861,32.9972,32.8607,0.1365,0.5986,32.8920,1.4614,31.4306,0.0000,33.4906,33.7547,0.4556,175.4861,NA,8.7174,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,208.4833,33.6775,33.5415,0.1360,0.4934,33.7547,1.3784,32.3763,0.0000,34.2481,33.2950,-0.7575,208.4833,NA,8.4755,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,242.1608,33.3446,33.2165,0.1281,0.5706,33.2950,1.4247,31.8703,0.0000,33.8656,34.1041,0.3825,242.1608,NA,9.7705,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,275.5054,32.8143,32.7093,0.1050,0.5210,32.8862,1.3556,31.5306,0.0000,34.6251,37.4944,-0.7595,275.5054,NA,28.8649,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,308.3197,33.2944,33.1862,0.1082,0.5929,33.3464,1.3376,32.0088,0.0000,39.3052,33.3483,-4.6801,308.3197,NA,NA,NA
