"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T00:56:07.9608080+08:00","2302","42072.719",,,"15.33","10.17"
"2026-08-15T00:56:11.5526792+08:00","2302","42084.078",,,"16.05","9.39"
"2026-08-15T00:56:14.6287413+08:00","2303.3","42096.875",,,"18.79","9.66"
"2026-08-15T00:56:17.7006591+08:00","2304.5","42109.406",,,"17.31","9.57"
"2026-08-15T00:56:20.7794555+08:00","2303.8","42121.359",,,"17.48","9.47"
"2026-08-15T00:56:23.8585448+08:00","2303.9","42133.25",,,"18.13","9.61"
"2026-08-15T00:56:26.9349694+08:00","2308.1","42145.828",,,"17.86","9.91"
"2026-08-15T00:56:30.0117384+08:00","2305.8","42158.469",,,"18.87","9.55"
"2026-08-15T00:56:33.0786921+08:00","2305.5","42171.859",,,"18.04","9.9"
"2026-08-15T00:56:36.1553558+08:00","2306.5","42185.031",,,"17.67","9.45"
"2026-08-15T00:56:39.2266346+08:00","2307.3","42197.922",,,"18.42","9.56"
"2026-08-15T00:56:42.3039732+08:00","2307.5","42210.766",,,"19.05","9.61"
"2026-08-15T00:56:45.3645593+08:00","2309.7","42223.047",,,"18.26","9.53"
"2026-08-15T00:56:48.4459784+08:00","2309.8","42235.609",,,"17.96","9.6"
"2026-08-15T00:56:51.5174133+08:00","2310","42249.016",,,"17.98","9.5"
"2026-08-15T00:56:54.5868680+08:00","2310.1","42260.922",,,"21.17","8.86"
"2026-08-15T00:56:57.6638499+08:00","2318.7","42272.875",,,"18.82","9.49"
"2026-08-15T00:57:00.7449308+08:00","2319.6","42285.812",,,"18.86","9.49"
"2026-08-15T00:57:03.8215458+08:00","2316.1","42298.891",,,"18.02","9.43"
"2026-08-15T00:57:06.9003915+08:00","2315.5","42311.438",,,"18.65","9.49"
