"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:29:17.6424753+08:00","2193.9","46688.188","86.7","0.766","18.6","15.36"
"2026-08-15T01:29:21.1269325+08:00","2195.1","46702.031","86.7","0.984","17.4","15.88"
"2026-08-15T01:29:24.2205235+08:00","2206","46714.812","86.7","1.125","18.9","15.88"
"2026-08-15T01:29:27.2983868+08:00","2205.1","46727.875","86.7","1.359","18.49","15.56"
"2026-08-15T01:29:30.3705286+08:00","2202.7","46740.781","86.8","1.547","19.56","15.28"
"2026-08-15T01:29:33.4481862+08:00","2203.9","46753.328","86.8","1.797","18.64","15.34"
"2026-08-15T01:29:36.5394236+08:00","2204.1","46766.156","86.8","2","19.66","15.36"
"2026-08-15T01:29:39.6195809+08:00","2204.2","46778.828","86.8","2.219","18.76","16.06"
"2026-08-15T01:29:42.6950629+08:00","2203.2","46792","86.5","2.422","17.52","15.71"
"2026-08-15T01:29:45.7756706+08:00","2202.8","46804.172","86.8","2.641","17.77","15.67"
"2026-08-15T01:29:48.8400780+08:00","2202.9","46817.281","86.8","2.984","18.82","15.82"
"2026-08-15T01:29:51.9164802+08:00","2203","46830.328","86.8","3.219","18.63","16.01"
"2026-08-15T01:29:54.9956228+08:00","2203.4","46843.031","86.8","3.422","18.52","15.31"
"2026-08-15T01:29:58.0666492+08:00","2203.3","46856.391","86.9","3.688","18.08","15.67"
"2026-08-15T01:30:01.1442894+08:00","2204.2","46870.031","86.9","3.953","18.98","15.63"
"2026-08-15T01:30:04.2216007+08:00","2204.6","46883.5","86.8","4.078","18.24","15.23"
"2026-08-15T01:30:07.3005202+08:00","2191.4","46897.422","86.7","4.234","19.8","15.48"
"2026-08-15T01:30:10.3713372+08:00","2190.2","46910.547","86.2","4.359","18.83","15.64"
"2026-08-15T01:30:13.4482390+08:00","2197.4","46924.812","86","4.516","18.85","15.89"
"2026-08-15T01:30:16.5142952+08:00","2193.6","46938.375","85.8","4.562","19.43","15.81"
