"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:27:53.2945768+08:00","2187.1","46362.094","85.8","7.797","18.21","14.78"
"2026-08-15T01:27:56.7859764+08:00","2188.3","46376.047","85.8","8.062","19.61","16.06"
"2026-08-15T01:27:59.8815118+08:00","2187.9","46389.172","85.8","8.234","20.39","13.86"
"2026-08-15T01:28:02.9580771+08:00","2189.3","46402.156","85.8","8.391","18.36","15.07"
"2026-08-15T01:28:06.0223388+08:00","2188.5","46415.203","85.8","8.516","21.09","15.59"
"2026-08-15T01:28:09.0850310+08:00","2190.9","46429.359","85.8","8.812","21.72",
"2026-08-15T01:28:12.1668921+08:00","2190.9","46443.078",,,"17.24","0"
"2026-08-15T01:28:15.2570535+08:00","2190.3","46456.812",,,"15.92","0"
"2026-08-15T01:28:18.3345703+08:00","2190.9","46470.531",,,"16.15","0"
"2026-08-15T01:28:21.4132202+08:00","2191.1","46484.734",,,"16.41","0"
"2026-08-15T01:28:24.4913989+08:00","2192.2","46498.938",,,"16.87","0"
"2026-08-15T01:28:27.5543275+08:00","2192","46512.766",,,"15.29","0"
"2026-08-15T01:28:30.6403010+08:00","2193.5","46527.438",,,"16.33","0"
"2026-08-15T01:28:33.7066410+08:00","2195.5","46541.734",,,"16.23","0"
"2026-08-15T01:28:36.7780505+08:00","2194","46556.078",,,"18.26","0"
"2026-08-15T01:28:39.8557768+08:00","2195.1","46570.641",,,"17.52","0"
"2026-08-15T01:28:42.9326965+08:00","2198.3","46584.938",,,"16.18","0"
"2026-08-15T01:28:45.9983475+08:00","2198.4","46598.844",,,"15.89","0"
"2026-08-15T01:28:49.0781559+08:00","2192.8","46613.547",,,"16.19","0"
"2026-08-15T01:28:52.1519967+08:00","2192.7","46628.188",,,"16.55","0"
