"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:25:47.5924729+08:00","2196.2","45966.016","86.4","0.797","18.53","15.34"
"2026-08-15T01:25:51.0643211+08:00","2192.9","45981.25","86.4","0.969","21.49","15.6"
"2026-08-15T01:25:54.1548242+08:00","2192.5","45995.188","86.4","1.172","21.69","15.62"
"2026-08-15T01:25:57.2326547+08:00","2192.9","46008.125","86.5","1.328","19.12","15.42"
"2026-08-15T01:26:00.3080823+08:00","2192.2","46021.156","86.6","1.469","18.99","16.24"
"2026-08-15T01:26:03.3850223+08:00","2191.6","46034.172","86.6","1.656","17.62","16.3"
"2026-08-15T01:26:06.4610445+08:00","2191.7","46046.656","86.6","1.859","20.83","16.35"
"2026-08-15T01:26:09.5391616+08:00","2194.7","46060.672","86.6","2.031","21.66","16.51"
"2026-08-15T01:26:12.6260829+08:00","2193.9","46074.484","86.6","2.203","21.16","16.18"
"2026-08-15T01:26:15.7066777+08:00","2192.7","46088.109","86.6","2.406","20.58","16.04"
"2026-08-15T01:26:18.7794173+08:00","2189.4","46102.328","86.6","2.688","19.51","15.47"
"2026-08-15T01:26:21.8394112+08:00","2188.2","46115.531","86.8","2.922","22.45","15.81"
"2026-08-15T01:26:24.9171973+08:00","2190.4","46130.641","86.8","3.156","19.03","15.92"
"2026-08-15T01:26:28.0112359+08:00","2190","46144.875","86.8","3.438","20.16","15.95"
"2026-08-15T01:26:31.0805102+08:00","2188.8","46158.5","86.8","3.641","20.77","16.1"
"2026-08-15T01:26:34.1517300+08:00","2188.6","46173.406","86.9","3.875","20.78","15.63"
"2026-08-15T01:26:37.2118984+08:00","2188","46187.328","86.9","4.016","20.34","15.78"
"2026-08-15T01:26:40.3003183+08:00","2201.1","46201.344","86.7","4.25","19.86","15.68"
"2026-08-15T01:26:43.3933569+08:00","2192.6","46215.5","86.3","4.391",,"15.81"
"2026-08-15T01:26:46.4867869+08:00","2193","46228.578","85.4","4.578","21.43","16.15"
