Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.7061,2.9880,2.8355,0.1525,0.8340,2.5511,0.9236,1.6275,0.0000,3.3851,3.4098,NA,2.7061,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,5.6941,3.2129,2.9618,0.2511,0.3971,3.4098,1.1351,2.2747,0.0000,3.8069,3.5724,-0.4218,5.6941,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,8.9070,3.5435,3.4076,0.1359,0.5940,3.5724,1.2121,2.3603,0.0000,4.1664,4.2100,-0.3595,8.9070,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,12.4505,4.0797,3.9234,0.1563,0.6229,4.2100,1.5119,2.6981,0.0000,4.8329,3.2611,-0.6665,12.4505,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,16.5302,3.6162,3.4421,0.1741,0.7532,3.2611,1.2891,1.9720,0.0000,4.0143,3.6573,0.8186,16.5302,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,20.1464,3.5764,3.4327,0.1437,0.3981,3.6573,1.1195,2.5378,0.0000,4.0554,3.9085,-0.0411,20.1464,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,23.7228,3.9319,3.7875,0.1444,0.4790,3.9085,1.1432,2.7653,0.0000,4.3875,2.5293,-0.3321,23.7228,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,27.6547,2.6221,2.4949,0.1272,0.4556,2.5293,1.2223,1.3070,0.0000,2.9849,3.7959,1.4026,27.6547,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,30.2768,3.7133,3.4696,0.2437,0.3628,3.7959,1.1369,2.6590,0.0000,4.1587,3.0391,-1.1738,30.2768,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,33.9901,2.9812,2.8308,0.1504,0.4454,3.0391,1.1903,1.8488,0.0000,3.4845,2.5163,0.6742,33.9901,NA,NA,NA
