"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T02:44:19.2472308+08:00","2165.2","53640.406","85.4","6.172","20.07","16.65"
"2026-08-15T02:44:22.7117283+08:00","2164.5","53653.781","85.4","6.391","19.93","16.12"
"2026-08-15T02:44:25.7918550+08:00","2168.4","53666.766","85.4","6.594","21.8","15.78"
"2026-08-15T02:44:28.8661489+08:00","2176.7","53678.25","85.4","6.781","20.77","16.38"
"2026-08-15T02:44:31.9482795+08:00","2178.3","53690.625","85.4","7.062","22.16","16.12"
"2026-08-15T02:44:35.0261026+08:00","2173.8","53702.672","85.4","7.156","21.12","16.2"
"2026-08-15T02:44:38.0896090+08:00","2178","53715.688","85.4","7.531","20.5","15.6"
"2026-08-15T02:44:41.1676911+08:00","2178.9","53727.797","85.5","7.641","19.85","16.31"
"2026-08-15T02:44:44.2520675+08:00","2179.3","53740.5","85.6","7.781","20.69","15.73"
"2026-08-15T02:44:47.3159361+08:00","2178","53752.938","85.6","7.906","23.2","15.93"
"2026-08-15T02:44:50.3785226+08:00","2178.7","53765.547","85.5","8.047","21.56","16.08"
"2026-08-15T02:44:53.4439461+08:00","2147.3","53778.078","85.5","8.094","21.01","15.77"
"2026-08-15T02:44:56.5213555+08:00","2153.9","53790.547","85.5","8.25","20.79","15.81"
"2026-08-15T02:44:59.5999045+08:00","2153.7","53802.672","85.5","8.312","23.09","15.98"
"2026-08-15T02:45:02.6698615+08:00","2158.8","53815.688","85.5","8.422","21.36",
"2026-08-15T02:45:05.7474123+08:00","2158.2","53828.344",,,"16.09","0"
"2026-08-15T02:45:08.8272292+08:00","2157.7","53840.734",,,"15.11","0"
"2026-08-15T02:45:11.8975760+08:00","2158.2","53853.328",,,"16.27","0"
"2026-08-15T02:45:14.9599347+08:00","2157.7","53865.422",,,"15.01","0"
"2026-08-15T02:45:18.0461895+08:00","2157.3","53878.094",,,"16.11","0"
