Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.7972,3.5009,3.3231,0.1778,0.4678,4.1361,1.4714,2.6647,0.0000,4.6039,2.1758,NA,6.7972,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,10.2981,2.7837,2.6668,0.1169,1.1030,2.1758,1.2462,0.9296,0.0000,3.2788,11.1827,1.3251,10.2981,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,13.0818,8.1732,8.0193,0.1539,0.4951,8.1869,1.4126,6.7743,0.0000,11.6778,4.1782,-8.3990,13.0818,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,21.2550,4.0386,3.9009,0.1377,0.5088,3.9907,1.2239,2.7668,0.0000,7.6828,4.1563,3.9950,21.2550,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.2936,4.1610,4.0081,0.1529,0.4609,4.1693,1.2484,2.9209,0.0000,7.8005,4.1608,-0.1177,25.2936,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.4546,4.8639,4.7020,0.1619,0.4692,4.9579,1.2880,3.6699,0.0000,7.8003,4.2623,0.0002,29.4546,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,34.3185,3.3562,3.0154,0.3408,0.5632,3.4482,1.7851,1.6631,0.0000,7.1987,2.2889,0.6016,34.3185,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,37.6747,5.6211,5.4593,0.1618,0.6552,5.4762,1.4308,4.0454,0.0000,6.1314,3.3826,1.0673,37.6747,NA,2.3284,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,43.2958,3.3926,3.2844,0.1082,0.5103,3.3826,1.4371,1.9455,0.0000,3.8929,7.5242,2.2385,43.2958,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,46.6884,7.5065,7.3631,0.1434,0.5003,7.5242,1.2241,6.3001,0.0000,8.0245,6.1878,-4.1316,46.6884,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,54.1949,5.8869,5.7566,0.1303,0.5180,6.1878,1.4830,4.7048,0.0000,6.7058,3.7345,1.3187,54.1949,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,60.0818,3.7980,3.5497,0.2483,0.8189,3.7345,1.1501,2.5844,0.0000,4.5534,3.4886,2.1524,60.0818,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,63.8798,3.6764,3.5070,0.1694,0.7554,3.4886,1.1429,2.3457,0.0000,4.2440,4.8425,0.3094,63.8798,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,67.5562,4.7889,4.6013,0.1876,0.5676,4.8425,1.5028,3.3397,0.0000,5.4101,3.1522,-1.1661,67.5562,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,72.3451,3.2819,3.1385,0.1434,0.6212,3.1522,1.4912,1.6610,0.0000,3.7734,5.3700,1.6367,72.3451,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,75.6270,5.2192,5.0638,0.1554,0.4915,5.3700,1.4424,3.9276,0.0000,5.8615,2.8317,-2.0881,75.6270,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,80.8462,2.9717,2.8470,0.1247,0.6423,2.8317,1.0214,1.8103,0.0000,3.4740,5.2226,2.3875,80.8462,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.8179,5.1708,5.0064,0.1644,0.5023,5.2226,1.3124,3.9102,0.0000,5.7249,4.0787,-2.2509,83.8179,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,88.9887,4.3761,3.7308,0.6453,0.5541,4.0787,1.6738,2.4049,0.0000,4.6328,4.2339,1.0921,88.9887,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,93.3648,3.6586,3.5045,0.1541,0.2567,4.2339,1.4321,2.8018,0.0000,4.4906,3.1880,0.1422,93.3648,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,97.0234,3.5427,3.3980,0.1447,0.8320,3.1880,1.0758,2.1122,0.0000,4.0200,5.2442,0.4706,97.0234,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,100.5661,4.8799,4.7490,0.1309,0.4773,5.2442,1.6211,3.6231,0.0000,5.7215,3.6057,-1.7015,100.5661,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,105.4460,3.9539,3.7961,0.1578,0.8416,3.6057,1.2464,2.3593,0.0000,4.4473,4.9611,1.2742,105.4460,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,109.3999,4.8417,4.6866,0.1551,0.4934,4.9611,1.4097,3.5514,0.0000,5.4545,3.7341,-1.0072,109.3999,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,114.2416,3.5049,3.1883,0.3166,0.6128,3.7341,1.4380,2.2961,0.0000,4.3469,4.6961,1.1076,114.2416,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,117.7465,4.4838,4.3084,0.1754,0.8420,4.6961,1.5153,3.1808,0.0000,5.5381,3.7184,-1.1912,117.7465,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,122.2303,3.8921,3.7896,0.1025,1.0543,3.7184,1.5644,2.1540,0.0000,4.7727,3.6586,0.7654,122.2303,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,126.1224,3.9475,3.7969,0.1506,0.8806,3.6586,1.0449,2.6137,0.0000,4.5392,4.8072,0.2335,126.1224,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,130.0699,4.4872,4.3348,0.1524,0.5917,4.8072,1.6908,3.1164,0.0000,5.3989,3.6031,-0.8597,130.0699,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,134.5571,3.9978,3.8500,0.1478,0.9117,3.6031,1.0622,2.5409,0.0000,4.5148,4.6366,0.8841,134.5571,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,138.5549,4.3830,4.1129,0.2701,0.5170,4.6366,1.5030,3.1336,0.0000,5.1536,3.3027,-0.6388,138.5549,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,142.9379,3.5437,3.3704,0.1733,0.7706,3.3027,1.4161,1.8866,0.0000,4.0733,15.2353,1.0803,142.9379,NA,3.1071,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,146.4816,11.1057,10.9688,0.1369,0.5296,11.2177,1.3803,9.8374,0.0000,15.7649,2.0872,-11.6916,146.4816,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,157.5873,5.8642,5.7037,0.1605,0.6416,6.1048,1.7241,4.3807,0.0000,6.7464,3.4994,9.0185,157.5873,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,163.4515,3.8531,3.6968,0.1563,0.8822,3.4994,1.1209,2.3785,0.0000,4.3816,3.6303,2.3648,163.4515,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,167.3046,3.6711,3.3716,0.2995,0.5285,3.6303,1.3573,2.2730,0.0000,4.1588,3.7821,0.2228,167.3046,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,170.9757,3.7635,3.6142,0.1493,0.4877,3.7821,1.2221,2.5600,0.0000,4.2698,4.2352,-0.1110,170.9757,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,174.7392,4.2718,4.1240,0.1478,0.5063,4.2352,1.3312,2.9040,0.0000,4.7415,5.6176,-0.4717,174.7392,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,179.0110,5.5388,5.3517,0.1871,0.4697,5.6176,1.3075,4.3101,0.0000,6.0873,3.2568,-1.3458,179.0110,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,184.5498,3.2980,3.1716,0.1264,0.5485,3.2568,1.2357,2.0211,0.0000,3.8053,4.4155,2.2820,184.5498,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,187.8478,4.3947,4.2679,0.1268,0.5073,4.4155,1.6138,2.8017,0.0000,4.9228,3.7955,-1.1175,187.8478,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,192.2425,3.6883,3.5802,0.1081,0.5281,3.7955,1.4106,2.3849,0.0000,4.3236,4.2406,0.5992,192.2425,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,195.9308,4.3923,4.2356,0.1567,0.6353,4.2406,1.2672,2.9734,0.0000,4.8759,4.2242,-0.5523,195.9308,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,200.3231,4.2142,4.0733,0.1409,0.4836,4.2242,1.2481,2.9761,0.0000,4.7078,4.5518,0.1681,200.3231,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,204.5373,4.4874,4.3303,0.1571,0.4936,4.5518,1.3263,3.2255,0.0000,5.0454,4.2631,-0.3376,204.5373,NA,NA,NA
