Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.5872,3.4912,3.2849,0.2063,0.7542,3.3836,1.4111,1.9725,0.0000,4.1378,2.6415,NA,2.5872,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.0784,2.8338,2.7230,0.1108,0.6466,2.6415,1.1009,1.5406,0.0000,3.2881,3.0051,0.8497,6.0784,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,8.9122,3.0221,2.9117,0.1104,0.4543,3.0051,1.0492,1.9559,0.0000,3.4594,3.2471,-0.1713,8.9122,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,11.9343,3.1522,2.9888,0.1634,0.4373,3.2471,1.0727,2.1744,0.0000,3.6844,3.6980,-0.2250,11.9343,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,15.0865,3.7383,3.6178,0.1205,0.5322,3.6980,0.9538,2.7442,0.0000,4.2302,3.7139,-0.5458,15.0865,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,18.8248,3.7163,3.5940,0.1223,0.4919,3.7139,1.4485,2.2654,0.0000,4.2058,3.1795,0.0244,18.8248,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,22.5411,3.2297,3.1165,0.1132,0.4895,3.1795,1.0607,2.1188,0.0000,3.6690,3.2909,0.5368,22.5411,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.7708,3.2073,3.0715,0.1358,0.4393,3.2909,1.1103,2.1806,0.0000,3.7302,3.7329,-0.0612,25.7708,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,28.9781,3.8468,3.6053,0.2415,0.5229,3.7329,1.0487,2.6842,0.0000,4.2558,4.2717,-0.5256,28.9781,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,32.8249,4.0819,3.9737,0.1082,0.4090,4.2717,1.2704,3.0013,0.0000,4.6807,3.5024,-0.4249,32.8249,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,36.9068,3.6464,3.5117,0.1347,0.5988,3.5024,1.2170,2.2854,0.0000,4.1012,3.8334,0.5795,36.9068,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,40.5532,3.6034,3.4625,0.1409,0.4548,3.8334,1.2177,2.6157,0.0000,4.2882,4.1061,-0.1870,40.5532,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,44.1566,4.0189,3.8858,0.1331,0.6848,4.1061,1.3094,2.7967,0.0000,4.7909,3.0887,-0.5027,44.1566,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,48.1755,3.3949,3.2786,0.1163,0.7720,3.0887,0.9698,2.1189,0.0000,3.8607,4.3152,0.9302,48.1755,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,51.5704,4.1656,4.0321,0.1335,0.4658,4.3152,1.1860,3.1292,0.0000,4.7810,2.8322,-0.9203,51.5704,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,55.7360,2.9118,2.7108,0.2010,0.6154,2.8322,1.2070,1.6252,0.0000,3.4476,3.2233,1.3334,55.7360,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,58.6478,3.3054,3.1768,0.1286,0.5358,3.2233,1.1389,2.0844,0.0000,3.7591,3.3809,-0.3115,58.6478,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,61.9532,3.2719,3.1538,0.1181,0.4537,3.3809,1.1215,2.2594,0.0000,3.8346,3.6461,-0.0755,61.9532,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,65.2251,3.7239,3.5912,0.1327,0.5627,3.6461,1.0054,2.6407,0.0000,4.2088,4.4438,-0.3742,65.2251,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,68.9490,4.2901,4.1633,0.1268,0.4849,4.4438,1.4553,2.9885,0.0000,4.9287,3.2942,-0.7199,68.9490,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,73.2391,3.3204,3.1873,0.1331,0.6386,3.2942,0.9934,2.3008,0.0000,3.9328,3.0384,0.9959,73.2391,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,76.5595,3.1885,3.0680,0.1205,0.6124,3.0384,1.1091,1.9293,0.0000,3.6508,8.1479,0.2820,76.5595,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,79.7480,3.7894,3.6278,0.1616,0.4623,3.8744,1.1992,2.6752,0.0000,NA,NA,-4.9594,79.7480,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.5374,3.3429,3.2254,0.1175,0.5473,3.7761,1.2731,2.5030,0.0000,4.3234,2.3925,NA,83.5374,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,86.8803,2.8883,2.7791,0.1092,0.9805,2.3925,1.3092,1.0833,0.0000,3.3730,3.4318,0.9504,86.8803,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,89.7686,3.3862,3.2405,0.1457,0.4847,3.4318,1.1730,2.2588,0.0000,3.9165,4.1868,-0.5435,89.7686,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,93.1548,4.2055,4.0705,0.1350,0.5303,4.1868,1.1276,3.0592,0.0000,4.7171,3.8487,-0.8006,93.1548,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,97.3603,3.8398,3.6986,0.1412,0.5116,3.8487,1.4316,2.4171,0.0000,4.3603,3.2299,0.3568,97.3603,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,101.2001,3.0847,2.9564,0.1283,0.5205,3.2299,1.4754,1.7545,0.0000,3.7504,3.4591,0.6099,101.2001,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,104.2848,3.5016,3.3454,0.1562,0.6657,3.4591,1.0922,2.3669,0.0000,4.1248,3.6832,-0.3744,104.2848,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,107.7864,3.8396,3.7087,0.1309,0.6232,3.6832,1.1539,2.5293,0.0000,4.3064,3.2132,-0.1816,107.7864,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,111.6260,3.1942,3.0855,0.1087,0.4668,3.2132,0.9911,2.2221,0.0000,3.6800,3.7072,0.6264,111.6260,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,114.8202,3.8022,3.5088,0.2934,0.4858,3.7072,1.1267,2.5805,0.0000,4.1930,4.1556,-0.5130,114.8202,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,118.6224,4.0759,3.8814,0.1945,0.3908,4.1556,1.2884,2.8672,0.0000,4.5464,2.7036,-0.3534,118.6224,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,122.6983,2.5641,2.4500,0.1141,0.4705,2.7036,1.3931,1.3105,0.0000,3.1741,3.2703,1.3723,122.6983,NA,NA,NA
