"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:23:17.5791249+08:00","2263","45524.156",,,"20.02","0"
"2026-08-15T01:23:21.0899463+08:00","2264.1","45540.109",,,"19.06","0"
"2026-08-15T01:23:24.1519860+08:00","2266.4","45553.219",,,"19.13","0"
"2026-08-15T01:23:27.2154932+08:00","2265.4","45567.234",,,"18.44","0"
"2026-08-15T01:23:30.2803835+08:00","2262.6","45581.812",,,"18.15","0"
"2026-08-15T01:23:33.3482424+08:00","2262.2","45595.609",,,"17.31","0"
"2026-08-15T01:23:36.4145220+08:00","2262.3","45609.516",,,"17.1","0"
"2026-08-15T01:23:39.5008004+08:00","2263.1","45623.953",,,"17.81","0"
"2026-08-15T01:23:42.5830063+08:00","2262.6","45637.859",,,"17.36","0"
"2026-08-15T01:23:45.6613477+08:00","2262.9","45651.969",,,"16.71","0"
"2026-08-15T01:23:48.7380195+08:00","2200.1","45666.547",,,"17.05","0"
"2026-08-15T01:23:51.8165968+08:00","2200.3","45680.953",,,"18.4","0"
"2026-08-15T01:23:54.8946545+08:00","2201.6","45695.578",,,"19.7","0"
"2026-08-15T01:23:57.9733121+08:00","2200.3","45709.344",,,"17.9","0"
"2026-08-15T01:24:01.0367274+08:00","2202.7","45723.375",,,"17.32","0"
"2026-08-15T01:24:04.1002934+08:00","2201.1","45737.578",,,"17.25","0"
"2026-08-15T01:24:07.1613233+08:00","2201.3","45751.406",,,"17.19","0"
"2026-08-15T01:24:10.2384515+08:00","2202.6","45766",,,"17.49","0"
"2026-08-15T01:24:13.3179901+08:00","2202.8","45780.562",,,"17.13","0"
"2026-08-15T01:24:16.3958942+08:00","2203.2","45795.109",,,"17.47","0"
