"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T02:38:23.3449422+08:00","2146.7","52388.562","84.8","0.781","19.14","15.98"
"2026-08-15T02:38:26.8036695+08:00","2148.4","52401.781","85.4","0.891","19.99","16.34"
"2026-08-15T02:38:29.8968156+08:00","2148.7","52414.953","85.5","1.078","19.14","16.37"
"2026-08-15T02:38:32.9607437+08:00","2149.3","52427.266","85.5","1.266","19.1","15.88"
"2026-08-15T02:38:36.0238920+08:00","2150.4","52440.359","85.7","1.422","21.08","16.07"
"2026-08-15T02:38:39.0849810+08:00","2151.6","52453.281","85.1","1.609","21.39","16.21"
"2026-08-15T02:38:42.1572977+08:00","2149.6","52466.766","85.1","1.766","19.31","16.69"
"2026-08-15T02:38:45.2345321+08:00","2149.8","52480.281","85.4","1.906","20.58","16.25"
"2026-08-15T02:38:48.3116037+08:00","2152.8","52493.484","85.5","2.141","18.57","16.3"
"2026-08-15T02:38:51.3847718+08:00","2152.9","52505.859","85.5","2.422","19.72","16.34"
"2026-08-15T02:38:54.4596190+08:00","2153","52519.438","85.5","2.734","18.88","16.69"
"2026-08-15T02:38:57.5274228+08:00","2152.2","52532.156","85.5","2.938","19.48","16.53"
"2026-08-15T02:39:00.6083299+08:00","2145.5","52545.266","85.5","3.125","18.9","16.57"
"2026-08-15T02:39:03.6726215+08:00","2145.7","52558.859","85.5","3.406","18.44","16.48"
"2026-08-15T02:39:06.7418519+08:00","2146.3","52572.031","85.6","3.578","19.06","16.51"
"2026-08-15T02:39:09.8074360+08:00","2146.5","52585.609","85.6","3.875","19.71","16.21"
"2026-08-15T02:39:12.8918269+08:00","2146.9","52599.656","85.6","4.062","20.27","16.2"
"2026-08-15T02:39:15.9560075+08:00","2147.8","52613.266","85.1","4.312","20.21","16.54"
"2026-08-15T02:39:19.0318572+08:00","2148.4","52626.953","84.6","4.469","20.15","16.22"
"2026-08-15T02:39:22.1107977+08:00","2151.2","52640.453","84.3","4.734","20.57","16.63"
