Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.3862,2.8689,2.7473,0.1216,0.4927,2.8669,1.2378,1.6291,0.0000,3.3596,3.5483,NA,6.3862,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,9.2551,3.3369,3.2007,0.1362,0.4907,3.5483,1.5417,2.0066,0.0000,4.0390,4.8953,-0.6794,9.2551,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,12.5920,5.0604,4.9649,0.0955,0.7021,4.8953,1.4591,3.4362,0.0000,5.5974,4.0321,-1.5584,12.5920,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,17.6524,3.7713,3.6422,0.1291,0.5370,4.0321,1.5471,2.4850,0.0000,4.5691,3.5231,1.0283,17.6524,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,21.4237,3.8299,3.6955,0.1344,0.7978,3.5231,1.2166,2.3065,0.0000,4.3209,4.6377,0.2482,21.4237,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.2536,4.6124,4.4642,0.1482,0.4910,4.6377,1.2704,3.3673,0.0000,5.1287,4.2338,-0.8078,25.2536,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.8660,4.0944,3.8986,0.1958,0.5163,4.2338,1.2387,2.9951,0.0000,4.7501,4.4952,0.3786,29.8660,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,33.9604,4.6635,4.5238,0.1397,0.6557,4.4952,1.2169,3.2783,0.0000,5.1509,3.4662,-0.4008,33.9604,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,38.6239,3.5071,3.3660,0.1411,0.4874,3.4662,1.1921,2.2741,0.0000,3.9536,4.4476,1.1973,38.6239,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,42.1310,4.3999,4.2532,0.1467,0.4465,4.4476,1.2480,3.1996,0.0000,4.8941,3.3876,-0.9405,42.1310,NA,NA,NA
