Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.9331,3.4095,3.2417,0.1678,0.8090,3.1039,1.3866,1.7173,0.0000,3.9129,3.2233,NA,2.9331,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.3426,3.6459,2.9699,0.6760,0.5034,3.2233,1.6311,1.5922,0.0000,3.7267,3.4109,0.1862,6.3426,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,9.9885,3.0152,2.8619,0.1533,0.0808,3.4109,1.2318,2.1791,0.0000,3.4917,2.9626,0.2350,9.9885,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,13.0037,2.9795,2.8459,0.1336,0.4765,2.9626,1.4515,1.5111,0.0000,3.4391,4.9704,0.0526,13.0037,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,15.9832,4.9552,4.8202,0.1350,0.4596,4.9704,1.6257,3.3447,0.0000,5.4300,4.1545,-1.9909,15.9832,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,20.9384,4.1299,3.9874,0.1425,0.4748,4.1545,1.2726,2.8819,0.0000,4.6293,4.3800,0.8007,20.9384,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.0683,4.4098,4.2617,0.1481,0.4994,4.3800,1.2383,3.1417,0.0000,4.8794,3.6108,-0.2501,25.0683,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.4781,3.6516,3.5284,0.1232,0.4696,3.6108,1.1710,2.4398,0.0000,4.0804,4.3003,0.7990,29.4781,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,33.1297,4.0741,3.9321,0.1420,0.4288,4.3003,1.4058,2.8945,0.0000,4.7291,9.0590,-0.6487,33.1297,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,37.2038,5.0769,4.8170,0.2599,0.6550,4.9297,1.4321,3.4976,0.0000,NA,NA,-4.9849,37.2038,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,42.2807,3.9564,3.8373,0.1191,0.5078,3.9482,1.2381,2.7101,0.0000,4.4560,3.5574,NA,42.2807,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,46.2371,3.6248,3.4734,0.1514,0.4996,3.5574,1.3803,2.1771,0.0000,4.0570,9.1119,0.3990,46.2371,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,49.8619,5.3112,5.1579,0.1533,0.4322,5.3788,1.4752,3.9036,0.0000,NA,NA,-5.4871,49.8619,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,55.1731,3.4384,3.3054,0.1330,0.4998,3.3947,1.2005,2.1942,0.0000,3.8945,3.3319,NA,55.1731,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,58.6115,3.3118,3.1762,0.1356,0.4561,3.3319,1.2379,2.0940,0.0000,3.7880,9.5068,0.1065,58.6115,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,61.9233,5.2960,5.1703,0.1257,0.4762,5.5749,1.2876,4.2873,0.0000,NA,NA,-6.1950,61.9233,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,67.2193,3.3245,3.1865,0.1380,0.7551,3.3905,1.5041,1.8864,0.0000,4.1456,8.8889,NA,67.2193,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,70.5438,5.2632,5.1118,0.1514,0.8211,4.9184,1.2100,3.7084,0.0000,NA,NA,-5.5644,70.5438,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,75.8070,3.6589,3.5298,0.1291,0.4763,3.6086,1.1588,2.4498,0.0000,4.0849,4.2701,NA,75.8070,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,79.4659,4.2178,4.0794,0.1384,0.4260,4.2701,1.2835,2.9866,0.0000,4.6961,4.1331,-0.6112,79.4659,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.6837,4.1162,4.0053,0.1109,0.4783,4.1331,1.4230,2.7101,0.0000,4.6114,4.2771,0.0847,83.6837,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,87.7999,4.3110,4.0190,0.2920,0.4952,4.2771,1.2081,3.0690,0.0000,4.7723,3.9422,-0.1609,87.7999,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,92.1109,3.9564,3.8206,0.1358,0.4613,3.9422,1.1555,2.7867,0.0000,4.4035,3.9336,0.3688,92.1109,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,96.0673,3.7196,3.5844,0.1352,0.4471,3.9336,1.5070,2.4266,0.0000,4.3807,4.0803,0.0228,96.0673,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,99.7869,4.3016,4.1665,0.1351,0.6611,4.0803,1.3330,2.7473,0.0000,4.7414,4.2849,-0.3607,99.7869,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,104.0885,4.2451,4.1342,0.1109,0.4398,4.2849,1.1782,3.1067,0.0000,4.7247,4.4002,0.0167,104.0885,NA,NA,NA
