Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,3.2661,4.3617,3.5742,0.7875,0.4576,4.2311,1.5551,2.6760,0.0000,4.8344,2.9390,NA,3.2661,0.1457,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,7.6278,2.9336,2.7892,0.1444,0.3270,3.0847,1.0147,2.0700,0.0000,3.4117,4.8506,1.4227,7.6278,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,10.5614,4.8078,4.6515,0.1563,0.4781,4.8506,1.2587,3.5919,0.0000,5.3287,3.4010,-1.9170,10.5614,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,15.3692,3.3873,3.2119,0.1754,0.5209,3.4010,1.1994,2.2016,0.0000,3.9219,3.9468,1.4068,15.3692,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,18.7565,4.0065,3.8642,0.1423,0.5346,3.9468,1.1957,2.7511,0.0000,4.4814,3.4938,-0.5595,18.7565,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,22.7630,3.4594,3.3149,0.1445,0.4749,3.4938,1.2303,2.2635,0.0000,3.9687,3.2295,0.5127,22.7630,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,26.2224,3.2538,3.1224,0.1314,0.5093,3.2295,1.3096,1.9199,0.0000,3.7388,3.2629,0.2299,26.2224,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.4762,3.2998,3.1987,0.1011,0.4850,3.2629,1.3002,1.9627,0.0000,3.7479,4.8030,-0.0091,29.4762,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,32.7760,4.8051,4.4053,0.3998,0.4481,4.7229,1.5054,3.2175,0.0000,5.2511,3.4317,-1.5032,32.7760,0.0801,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,37.5811,2.8922,2.7768,0.1154,0.3659,3.5118,1.3858,2.1260,0.0000,3.8777,2.9718,1.3734,37.5811,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,40.4733,3.4560,3.3223,0.1337,0.9855,2.9718,0.9503,2.0215,0.0000,3.9573,3.5544,-0.0796,40.4733,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,43.9293,3.4967,3.3677,0.1290,0.5013,3.5544,1.4340,2.1204,0.0000,4.0557,3.2725,-0.0984,43.9293,NA,NA,NA
