"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T02:45:43.0019804+08:00","2158.2","53935.078","86.4","0.844","23.02","16.3"
"2026-08-15T02:45:46.4617732+08:00","2157.9","53949.094","86.4","1.062","20.15","16.47"
"2026-08-15T02:45:49.5329647+08:00","2157.9","53961.516","86.5","1.312","20.97","16.1"
"2026-08-15T02:45:52.6096628+08:00","2157.6","53974.5","86.5","1.5","20.38","16.43"
"2026-08-15T02:45:55.6883792+08:00","2157.2","53987.156","86.5","1.875","21.44","15.58"
"2026-08-15T02:45:58.7647691+08:00","2156.8","53999.953","86.6","2.125","20.88","15.68"
"2026-08-15T02:46:01.8305519+08:00","2156.9","54011.406","86.6","2.328","21.36","16.19"
"2026-08-15T02:46:04.8997170+08:00","2156.6","54022.781","86","2.531","20.06","16.04"
"2026-08-15T02:46:07.9750974+08:00","2156.6","54034.828","86","2.641","19.87","16.35"
"2026-08-15T02:46:11.0559920+08:00","2156.6","54046.859","86","2.828","19.79","16.18"
"2026-08-15T02:46:14.1282564+08:00","2156.6","54059.469","86","2.953","19.85","16.27"
"2026-08-15T02:46:17.2049420+08:00","2156.2","54071.719","86","3.109","21.37","16.1"
"2026-08-15T02:46:20.2829720+08:00","2156","54083.328","86.2","3.234","20.26","16.24"
"2026-08-15T02:46:23.3472508+08:00","2155.9","54095.188","86.3","3.516","19.53","15.72"
"2026-08-15T02:46:26.4240778+08:00","2155.9","54107.047","86.4","3.672","21.13","16.43"
"2026-08-15T02:46:29.5030953+08:00","2155.9","54120.125","86.4","3.828","22.02","15.93"
"2026-08-15T02:46:32.5619138+08:00","2155.6","54131.938","86.2","4.172","20.86","16.14"
"2026-08-15T02:46:35.6298166+08:00","2160.9","54145.344","85.5","4.406","21.23","16.3"
"2026-08-15T02:46:38.7071698+08:00","2161.1","54158.391","85.5","4.562","20.07","16.52"
"2026-08-15T02:46:41.7773318+08:00","2161.1","54170.188","84.9","4.734","18.25","16.22"
