Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.3001,3.2656,3.1235,0.1421,0.8860,2.9339,1.6979,1.2360,0.0000,3.8199,2.8286,NA,2.3001,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,5.5657,2.8960,2.7562,0.1398,0.5543,2.8286,1.2332,1.5954,0.0000,3.3829,4.8435,0.4370,5.5657,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,8.4617,4.7806,4.6321,0.1485,0.4869,4.8400,1.3143,3.5257,0.0000,5.3304,3.5435,-1.9475,8.4617,0.0035,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,13.2423,3.6024,3.4653,0.1371,0.5463,3.5470,1.2787,2.2683,0.0000,4.0933,3.6900,1.2371,13.2423,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,16.8447,3.6785,3.5453,0.1332,0.4909,3.6900,1.3434,2.3466,0.0000,4.1809,5.3360,-0.0876,16.8447,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,20.5232,5.3218,5.1722,0.1496,0.5024,5.3360,1.7014,3.6346,0.0000,5.8384,3.4455,-1.6575,20.5232,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.8450,3.4212,3.2965,0.1247,0.5166,3.4455,1.2753,2.1702,0.0000,3.9621,3.9438,1.8763,25.8450,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.2662,3.9717,3.8257,0.1460,0.5409,3.9438,1.3544,2.5894,0.0000,4.4847,4.6152,-0.5226,29.2662,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,33.2379,4.5110,4.3471,0.1639,0.5130,4.6152,1.2880,3.3272,0.0000,5.1282,4.3448,-0.6435,33.2379,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,37.7489,4.4393,4.2917,0.1476,0.6172,4.3448,1.3286,3.0162,0.0000,4.9620,3.8761,0.1662,37.7489,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,42.1882,3.9082,3.7592,0.1490,0.5227,3.8761,1.2676,2.6085,0.0000,4.3988,3.4950,0.5632,42.1882,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,46.0964,3.4407,3.3026,0.1381,0.4906,3.4950,1.2126,2.2824,0.0000,3.9856,4.7293,0.4132,46.0964,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,49.5371,4.7809,4.6250,0.1559,0.5449,4.7293,1.2696,3.4597,0.0000,5.2742,3.2718,-1.2886,49.5371,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,54.3180,3.2782,3.1695,0.1087,0.4933,3.2718,1.2436,2.0282,0.0000,3.7651,4.7851,1.5091,54.3180,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,57.5962,4.7643,4.6242,0.1401,0.4869,4.7851,1.3123,3.4728,0.0000,5.2720,3.6333,-1.5069,57.5962,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,62.3605,3.6690,3.5592,0.1098,0.5077,3.6333,1.2358,2.3975,0.0000,4.1410,5.2131,1.1310,62.3605,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,66.0295,5.1623,4.9884,0.1739,0.4720,5.2131,1.4377,3.7754,0.0000,5.6851,4.1133,-1.5441,66.0295,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,71.1918,4.1417,4.0079,0.1338,0.5228,4.1133,1.2489,2.8644,0.0000,4.6361,3.4960,1.0490,71.1918,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,75.3335,3.4331,3.3005,0.1326,0.4944,3.4550,1.2595,2.1955,0.0000,3.9904,4.9688,0.6457,75.3335,0.0410,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,78.7666,4.9880,4.8252,0.1628,0.5163,5.0098,1.2924,3.7174,0.0000,5.5261,4.7472,-1.5357,78.7666,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.7546,4.7331,4.5749,0.1582,0.5381,4.7472,1.3578,3.3894,0.0000,5.2853,3.7558,0.2408,83.7546,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,88.4877,3.7915,3.6566,0.1349,0.5522,3.7558,1.3177,2.4381,0.0000,4.3080,3.6825,0.9773,88.4877,NA,NA,NA
