"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:34:58.3893097+08:00","2198.9","47734.891","86.3","7.047","27.45","13.15"
"2026-08-15T01:35:01.8682294+08:00","2199","47744.344","86.3","7.219","21.95","14.96"
"2026-08-15T01:35:04.9474458+08:00","2199","47757.672","86.3","7.422","21.77","15.4"
"2026-08-15T01:35:08.0266482+08:00","2198.8","47771.766","86.4","7.578","22.3","14.59"
"2026-08-15T01:35:11.1059442+08:00","2198.9","47784.875","86.4","7.703","20.98","14.73"
"2026-08-15T01:35:14.1912454+08:00","2198.8","47798.297","86.4","7.938","21.3","15.26"
"2026-08-15T01:35:17.2560020+08:00","2198.7","47811.656","86.4","8.109","21.29","15.03"
"2026-08-15T01:35:20.3312824+08:00","2198.7","47826.375","86.4","8.219","22.07","15.68"
"2026-08-15T01:35:23.3983438+08:00","2198.8","47839.859","86.4","8.328","23.15","14.93"
"2026-08-15T01:35:26.4786279+08:00","2198.8","47853.844","86.4","8.469","22.05","15.27"
"2026-08-15T01:35:29.5475282+08:00","2198.6","47868.531","86.4","8.734","21.77","14.84"
"2026-08-15T01:35:32.6204675+08:00","2198.6","47881.312","86.5","8.969","21.5","14.74"
"2026-08-15T01:35:35.7005032+08:00","2198.7","47894.719","86.5","9.266","22.63","14.94"
"2026-08-15T01:35:38.7787409+08:00","2198.8","47908.781","86.5","9.516","23.21","15.04"
"2026-08-15T01:35:41.8485473+08:00","2205.5","47923.344",,,"18.13","0"
"2026-08-15T01:35:44.9144573+08:00","2205.5","47936.797",,,"18.79","0"
"2026-08-15T01:35:47.9975209+08:00","2203.2","47950.125",,,"19.49","0"
"2026-08-15T01:35:51.0747379+08:00","2203.2","47964.391",,,"18.28","0"
"2026-08-15T01:35:54.1547165+08:00","2203.1","47978.297",,,"18.79","0"
"2026-08-15T01:35:57.2296275+08:00","2204.3","47991.328",,,"18.03","0"
