Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.6254,16.7123,16.5859,0.1264,0.4935,16.7196,1.2244,15.4952,0.0000,21.0161,16.6645,NA,6.6254,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,23.3377,16.3424,16.2080,0.1344,0.5008,16.4241,1.4446,14.9795,0.0000,20.9683,16.6632,0.0478,23.3377,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,39.6801,16.7076,16.6056,0.1020,0.5825,16.7174,1.2807,15.4367,0.0000,21.2891,16.6764,-0.3208,39.6801,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,56.3877,16.4722,16.3341,0.1381,0.5923,16.3796,1.2830,15.0966,0.0000,21.2579,16.6767,0.0312,56.3877,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,72.8599,17.0926,16.9255,0.1671,0.4997,17.0263,1.3892,15.6371,0.0000,21.4624,12.3650,-0.2045,72.8599,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,89.9525,16.2280,16.0962,0.1318,0.4334,16.3014,1.2425,15.0589,0.0000,16.7348,20.9519,4.7276,89.9525,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,106.1805,16.7430,16.6064,0.1366,0.5068,16.7983,1.3394,15.4589,0.0000,21.4587,12.3105,-4.7239,106.1805,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,122.9235,16.5025,16.4000,0.1025,0.5621,16.4641,1.2599,15.2042,0.0000,17.0262,21.0494,4.4325,122.9235,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,139.4260,16.7625,16.6156,0.1469,0.5237,16.7457,1.2770,15.4687,0.0000,21.5731,16.6407,-4.5469,139.4260,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,156.1885,16.7963,16.6624,0.1339,0.5069,16.8364,1.3268,15.5096,0.0000,21.4513,16.6769,0.1218,156.1885,NA,NA,NA
