"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T02:42:39.5239228+08:00","2154.1","53320.078","86.2","0.703","21.48","16.81"
"2026-08-15T02:42:42.9898390+08:00","2155.4","53333.062","86.2","0.906","19.51","16.81"
"2026-08-15T02:42:46.0821871+08:00","2160.2","53345.375","86.2","1.062","19.1","16.17"
"2026-08-15T02:42:49.1538210+08:00","2160.4","53357.875","85.7","1.219","20.44","16.54"
"2026-08-15T02:42:52.2225644+08:00","2160.9","53370.266","85.8","1.422","17.85","16.26"
"2026-08-15T02:42:55.2964565+08:00","2156.9","53382.078","85.9","1.609","18.87","16.36"
"2026-08-15T02:42:58.3796170+08:00","2158.2","53394.625","85.9","1.797","21.15","16.61"
"2026-08-15T02:43:01.4596385+08:00","2157.9","53407.141","86.1","1.906","19.08","15.96"
"2026-08-15T02:43:04.5220085+08:00","2159.8","53419.328","86.1","2.031","19.89","16.65"
"2026-08-15T02:43:07.5883279+08:00","2159.8","53431.938","86.1","2.125","19.53","16"
"2026-08-15T02:43:10.6681969+08:00","2160.2","53445.453","86.1","2.328","20.47","16.44"
"2026-08-15T02:43:13.7417672+08:00","2160.3","53458.5","86.1","2.578","19.15","15.94"
"2026-08-15T02:43:16.8118266+08:00","2162.6","53470.906","86.1","2.734","18.96","16.73"
"2026-08-15T02:43:19.8747397+08:00","2162.9","53484.094","86.3","2.953","23.22","16.62"
"2026-08-15T02:43:22.9516521+08:00","2161.6","53497.125","86.5","3.156","19.68","16.43"
"2026-08-15T02:43:26.0385722+08:00","2162.6","53510.266","86.8","3.375","19.42","16.38"
"2026-08-15T02:43:29.1006220+08:00","2161.5","53523.078","86.6","3.578","19.49","16.42"
"2026-08-15T02:43:32.1667515+08:00","2164.3","53535.562","87.1","3.703","19.91","16.11"
"2026-08-15T02:43:35.2385513+08:00","2164","53546.906","86.7","3.906","18.53","15.39"
"2026-08-15T02:43:38.2980142+08:00","2165.2","53557.641","86","4.172","11.93","15.54"
